,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0.1,2.0,1.0,8.0,4.0,12.0,14.0,5.0,44.0,26.0,22.0,18.0,36.0,30.0,11.0,25.0,17.0,68.0,27.0,20.0,28.0,6.0,10.0,38.0,9.0,23.0,48.0,7.0,63.0,33.0,39.0,29.0,72.0,21.0,41.0,76.0,35.0,31.0,43.0,51.0,16.0,24.0,19.0,60.0,34.0,46.0,47.0,15.0,53.0,71.0,37.0,58.0,3.0,13.0,45.0,40.0,55.0,65.0,59.0,32.0,75.0,74.0,42.0,56.0,64.0,66.0,69.0,52.0,70.0,49.0,62.0,73.0,50.0,67.0,54.0,57.0,61.0
0.2,2.0,1.0,8.0,4.0,11.0,14.0,5.0,44.0,25.0,21.0,18.0,34.0,30.0,12.0,26.0,17.0,68.0,27.0,20.0,28.0,6.0,10.0,38.0,9.0,23.0,47.0,7.0,63.0,33.0,40.0,29.0,72.0,22.0,41.0,76.0,36.0,31.0,43.0,51.0,16.0,24.0,19.0,60.0,35.0,45.0,48.0,15.0,52.0,71.0,37.0,58.0,3.0,13.0,46.0,42.0,55.0,65.0,59.0,32.0,75.0,74.0,39.0,56.0,64.0,66.0,69.0,53.0,70.0,49.0,62.0,73.0,50.0,67.0,54.0,57.0,61.0
0.3,2.0,1.0,8.0,3.0,11.0,13.0,4.0,44.0,24.0,20.0,18.0,34.0,29.0,12.0,25.0,17.0,68.0,30.0,21.0,27.0,7.0,10.0,38.0,9.0,23.0,47.0,6.0,62.0,33.0,40.0,28.0,72.0,22.0,41.0,76.0,36.0,31.0,43.0,51.0,16.0,26.0,19.0,60.0,35.0,45.0,48.0,14.0,52.0,71.0,37.0,58.0,5.0,15.0,46.0,42.0,55.0,65.0,59.0,32.0,75.0,74.0,39.0,56.0,64.0,66.0,69.0,53.0,70.0,49.0,61.0,73.0,50.0,67.0,54.0,57.0,63.0
0.4,2.0,1.0,8.0,4.0,11.0,13.0,3.0,44.0,24.0,20.0,18.0,34.0,29.0,12.0,25.0,17.0,68.0,30.0,21.0,26.0,7.0,9.0,37.0,10.0,23.0,47.0,6.0,61.0,33.0,40.0,28.0,72.0,22.0,41.0,76.0,36.0,31.0,43.0,51.0,15.0,27.0,19.0,59.0,35.0,45.0,48.0,14.0,52.0,71.0,38.0,58.0,5.0,16.0,46.0,42.0,54.0,65.0,60.0,32.0,75.0,74.0,39.0,55.0,64.0,66.0,69.0,56.0,70.0,49.0,62.0,73.0,50.0,67.0,53.0,57.0,63.0
0.5,2.0,1.0,9.0,4.0,11.0,13.0,3.0,42.0,24.0,19.0,18.0,34.0,28.0,12.0,26.0,16.0,68.0,30.0,22.0,25.0,7.0,8.0,37.0,10.0,23.0,47.0,6.0,61.0,33.0,40.0,27.0,72.0,21.0,41.0,76.0,36.0,31.0,43.0,50.0,15.0,29.0,20.0,57.0,35.0,45.0,48.0,14.0,52.0,71.0,38.0,58.0,5.0,17.0,46.0,44.0,54.0,65.0,59.0,32.0,75.0,74.0,39.0,55.0,64.0,66.0,69.0,60.0,70.0,51.0,62.0,73.0,49.0,67.0,53.0,56.0,63.0
0.6,2.0,1.0,9.0,4.0,11.0,13.0,3.0,42.0,25.0,18.0,17.0,34.0,28.0,12.0,26.0,16.0,67.0,33.0,22.0,24.0,7.0,8.0,37.0,10.0,20.0,47.0,6.0,60.0,32.0,40.0,27.0,72.0,19.0,41.0,76.0,36.0,30.0,43.0,50.0,15.0,29.0,23.0,56.0,35.0,44.0,48.0,14.0,51.0,71.0,38.0,58.0,5.0,21.0,46.0,45.0,54.0,65.0,59.0,31.0,75.0,74.0,39.0,55.0,64.0,66.0,69.0,62.0,70.0,52.0,61.0,73.0,49.0,68.0,53.0,57.0,63.0
0.7,2.0,1.0,9.0,4.0,11.0,12.0,3.0,42.0,25.0,18.0,17.0,33.0,27.0,13.0,26.0,16.0,67.0,34.0,21.0,24.0,7.0,8.0,36.0,10.0,20.0,47.0,6.0,60.0,32.0,40.0,28.0,72.0,19.0,41.0,76.0,37.0,31.0,43.0,50.0,15.0,29.0,22.0,56.0,35.0,44.0,48.0,14.0,51.0,71.0,38.0,58.0,5.0,23.0,46.0,45.0,54.0,64.0,59.0,30.0,75.0,74.0,39.0,55.0,63.0,66.0,69.0,65.0,70.0,52.0,61.0,73.0,49.0,68.0,53.0,57.0,62.0
0.8,2.0,1.0,9.0,4.0,11.0,12.0,3.0,42.0,24.0,18.0,17.0,33.0,25.0,13.0,27.0,16.0,66.0,38.0,21.0,23.0,7.0,8.0,34.0,10.0,20.0,47.0,6.0,60.0,30.0,40.0,26.0,72.0,19.0,41.0,76.0,36.0,32.0,43.0,49.0,15.0,29.0,22.0,56.0,35.0,44.0,48.0,14.0,51.0,71.0,39.0,58.0,5.0,28.0,46.0,45.0,54.0,64.0,59.0,31.0,75.0,74.0,37.0,55.0,63.0,67.0,69.0,65.0,70.0,52.0,61.0,73.0,50.0,68.0,53.0,57.0,62.0
0.85,2.0,1.0,9.0,4.0,11.0,12.0,3.0,42.0,24.0,18.0,17.0,33.0,25.0,13.0,27.0,16.0,66.0,39.0,21.0,23.0,7.0,8.0,34.0,10.0,20.0,46.0,6.0,60.0,30.0,40.0,26.0,72.0,19.0,41.0,76.0,36.0,32.0,43.0,49.0,15.0,29.0,22.0,56.0,35.0,44.0,48.0,14.0,51.0,71.0,38.0,58.0,5.0,28.0,47.0,45.0,54.0,64.0,59.0,31.0,75.0,74.0,37.0,55.0,62.0,67.0,69.0,65.0,70.0,52.0,61.0,73.0,50.0,68.0,53.0,57.0,63.0
0.9,2.0,1.0,9.0,4.0,11.0,12.0,3.0,42.0,24.0,18.0,17.0,33.0,25.0,13.0,27.0,16.0,66.0,39.0,21.0,23.0,7.0,8.0,32.0,10.0,20.0,46.0,6.0,60.0,30.0,40.0,26.0,72.0,19.0,41.0,76.0,37.0,34.0,43.0,49.0,15.0,29.0,22.0,56.0,35.0,44.0,48.0,14.0,51.0,71.0,38.0,58.0,5.0,28.0,47.0,45.0,54.0,64.0,59.0,31.0,75.0,74.0,36.0,55.0,62.0,67.0,69.0,65.0,70.0,52.0,61.0,73.0,50.0,68.0,53.0,57.0,63.0
