,pagerank,univ webpages,pagerank ranks
0,0.078111337,[u'pku.edu.cn'],2
1,0.088690472,[u'tsinghua.edu.cn'],1
2,0.020124829,[u'fudan.edu.cn'],9
3,0.026023973,[u'nju.edu.cn'],4
4,0.018834368,[u'zju.edu.cn'],11
5,0.018491951,[u'ustc.edu.cn'],12
6,0.026977757,[u'sjtu.edu.cn'],3
7,0.009702161,[u'buaa.edu.cn'],42
8,0.013147957,[u'nankai.edu.cn'],24
9,0.01440264,[u'tju.edu.cn'],18
10,0.014570301,[u'bnu.edu.cn'],17
11,0.011226633,[u'hit.edu.cn'],33
12,0.012966829,[u'jlu.edu.cn'],25
13,0.017824607,[u'hust.edu.cn'],13
14,0.012814197,[u'ruc.edu.cn'],27
15,0.015689091,[u'whu.edu.cn'],16
16,0.006738981,[u'scu.edu.cn'],66
17,0.01049369,[u'bit.edu.cn'],39
18,0.014161996,[u'tongji.edu.cn'],21
19,0.013452832,[u'xmu.edu.cn'],23
20,0.02079129,[u'zsu.edu.cn'],7
21,0.020587032,[u'dlut.edu.cn'],8
22,0.011172052,[u'cau.edu.cn'],34
23,0.019814796,[u'seu.edu.cn'],10
24,0.014281143,[u'ecnu.edu.cn'],20
25,0.009086717,[u'nwpu.edu.cn'],46
26,0.022450228,[u'scut.edu.cn'],6
27,0.007645286,[u'ustb.edu.cn'],60
28,0.01138486,[u'sdu.edu.cn'],30
29,0.009909369,[u'neu.edu.cn'],40
30,0.012919456,[u'bupt.edu.cn'],26
31,0.00308976,[u'csu.edu.cn'],72
32,0.014338214,[u'lzu.edu.cn'],19
33,0.009826179,[u'njust.edu.cn'],41
34,0.002378802,[u'nip.net.cn'],76
35,0.010871035,[u'njtu.edu.cn'],36
36,0.011271783,[u'nuaa.edu.cn'],32
37,0.009664477,[u'cqu.edu.cn'],43
38,0.008448151,[u'nenu.edu.cn'],49
39,0.015781011,[u'jnu.edu.cn'],15
40,0.011775001,[u'njau.edu.cn'],29
41,0.013809623,[u'swjtu.edu.cn'],22
42,0.007817935,[u'ouqd.edu.cn'],56
43,0.010970937,[u'cumt.edu.cn'],35
44,0.009516872,[u'ecust.edu.cn'],44
45,0.008543528,[u'cug.edu.cn'],48
46,0.016560608,[u'gzsums.edu.cn'],14
47,0.008379385,[u'ccnu.edu.cn'],51
48,0.00322558,[u'hzau.edu.cn'],71
49,0.010695755,[u'xidian.edu.cn'],38
50,0.007720461,[u'shsmu.edu.cn'],58
51,0.024449922,[u'uestc.edu.cn'],5
52,0.012154442,[u'bfsu.edu.cn'],28
53,0.009075549,[u'shufe.edu.cn'],47
54,0.009200149,[u'nwu.edu.cn'],45
55,0.007910346,[u'scau.edu.cn'],54
56,0.007365223,[u'ccom.edu.cn'],64
57,0.007697967,[u'shisu.edu.cn'],59
58,0.011358444,[u'fzu.edu.cn'],31
59,0.002453051,[u'sdust.edu.cn'],75
60,0.002761321,[u'cun.edu.cn'],74
61,0.010810208,[u'swufe.edu.cn'],37
62,0.007857146,[u'dlmu.edu.cn'],55
63,0.007430315,[u'hfut.edu.cn'],62
64,0.006679999,[u'uibe.edu.cn'],67
65,0.005677977,[u'cpums.edu.cn'],69
66,0.007063773,[u'cupl.edu.cn'],65
67,0.004189444,[u'usst.edu.cn'],70
68,0.008119388,[u'njmu.edu.cn'],52
69,0.007541926,[u'sicau.edu.cn'],61
70,0.002975369,[u'cdut.edu.cn'],73
71,0.008445195,[u'tyut.edu.cn'],50
72,0.006516565,[u'henu.edu.cn'],68
73,0.007930539,[u'xju.edu.cn'],53
74,0.007740727,[u'znufe.edu.cn'],57
75,0.007421085,[u'njim.edu.cn'],63
