City,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Abashiri,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Hakodate
Sapporo,0,,,,,,,,,,,,,,,,
Shiretoko,0,0,,,,,,,,,,,,,,,
Noboribetsu,1,0,0,,,,,,,,,,,,,,
Muroran,0,0,1,0,,,,,,,,,,,,,
Otaru,1,0,1,1,0,,,,,,,,,,,,
Esashi,0,0,0,0,0,0,,,,,,,,,,,
Furano,1,0,1,0,0,0,0,,,,,,,,,,
Biei,0,0,0,0,0,0,1,0,,,,,,,,,
Asahikawa,1,0,1,0,0,0,0,1,0,,,,,,,,
Kushiro,0,1,0,0,0,0,0,0,0,0,,,,,,,
Abashiri,0,1,0,0,0,0,0,0,1,0,0,,,,,,
Monbetsu,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Numuro,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
Wakkanai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
Obihiro,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,
Rumoi,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
Hakodate,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
