City,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Abashiri,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Hakodate
Sapporo,0,-999,72,114,45,-999,138,122,85,243,335,-999,-999,-999,163,-999,224
Shiretoko,-999,0,-999,-999,-999,-999,-999,-999,307,142,41,-999,-999,-999,-999,-999,-999
Noboribetsu,78,-999,0,28,128,-999,280,-999,168,271,-999,-999,-999,-999,-999,-999,151
Muroran,110,-999,36,0,164,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,163
Otaru,39,-999,132,182,0,-999,207,172,135,-999,-999,-999,-999,-999,-999,-999,265
Esashi,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,140
Furano,129,-999,215,-999,178,-999,0,32,68,384,-999,-999,-999,-999,162,-999,-999
Biei,144,-999,-999,-999,194,-999,33,0,31,427,287,-999,-999,-999,-999,-999,-999
Asahikawa,85,326,176,-999,135,-999,68,34,0,330,223,191,-999,221,-999,80,-999
Kushiro,243,134,261,-999,-999,-999,284,339,362,0,176,-999,151,-999,92,-999,-999
Abashiri,319,42,-999,-999,-999,-999,-999,296,224,189,0,-999,-999,-999,-999,-999,-999
Monbetsu,-999,-999,-999,-999,-999,-999,-999,-999,191,-999,-999,0,-999,-999,-999,-999,-999
Numuro,-999,-999,-999,-999,-999,-999,-999,-999,-999,138,-999,-999,0,-999,-999,-999,-999
Wakkanai,-999,-999,-999,-999,-999,-999,-999,-999,227,-999,-999,-999,-999,0,-999,-999,-999
Obihiro,156,-999,-999,-999,-999,-999,162,-999,-999,94,-999,-999,-999,-999,0,-999,-999
Rumoi,-999,-999,-999,-999,-999,-999,-999,-999,98,-999,-999,-999,-999,-999,-999,0,-999
Hakodate,227,-999,150,155,283,118,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
