,Hakodate_Sp,Hakodate,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Abashiri,Abashiri_Sp
Hakodate_Sp,0.0,0.4492501973164956,0.0,0.0,0.16322020520915548,0.03188634569850039,0.34711917916337803,0.008524072612470401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakodate,0.09288500835965076,0.0,0.2589634033067063,0.0,0.19208619728775778,0.03752554337729891,0.40850826676574403,0.010031580902842282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sapporo,0.0,0.30985302123026676,0.0,0.0,0.1125748502994012,0.0,0.23941208492106697,0.0,0.05704953728905825,0.0,0.2372346216657594,0.0,0.0,0.0,0.0,0.03984757757212847,0.004028307022318998,0.0,0.0
Shiretoko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4378238341968912,0.0,0.0,0.0,0.0,0.0,0.4758203799654577,0.08635578583765112
Noboribetsu,0.04897159647404505,0.2787463271302644,0.1365328109696376,0.0,0.0,0.019784524975514202,0.21537708129285013,0.0,0.05132223310479921,0.0,0.21341821743388834,0.0,0.0,0.0,0.0,0.03584720861900098,0.0,0.0,0.0
Muroran,0.07599939200486396,0.4325885392916856,0.0,0.0,0.15716674266605865,0.0,0.33424532603739165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otaru,0.08366800535475234,0.4762382864792503,0.23326639892904952,0.0,0.17302543507362783,0.033801874163319943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esashi,0.14943215780035862,0.8505678421996413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furano,0.0,0.0,0.33777562393990795,0.0,0.2505451902108069,0.0,0.0,0.0,0.0,0.31402956142476374,0.0,0.0,0.0,0.0,0.0,0.08868427429125272,0.008965350133268718,0.0,0.0
Biei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19385867554568997,0.0,0.8061413244543101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asahikawa,0.0,0.0,0.27902321857485984,0.0,0.20696557245796635,0.0,0.0,0.0,0.0,0.2594075260208166,0.0,0.0,0.01721377101681345,0.0,0.09967974379503602,0.0,0.007405924739791833,0.11028823058446757,0.020016012810248198
Kushiro,0.0,0.0,0.0,0.5790794979079498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11464435146443513,0.0,0.30627615062761504,0.0,0.0,0.0
Monbetsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numuro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wakkanai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obihiro,0.0,0.0,0.4030066493206129,0.0,0.29893032668401276,0.0,0.0,0.0,0.15148886961549582,0.0,0.0,0.14657415437987859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rumoi,0.0,0.0,0.34024896265560167,0.0,0.0,0.0,0.0,0.0,0.1278984622894801,0.0,0.5318525750549182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abashiri,0.0,0.0,0.0,0.23291820935711882,0.0,0.0,0.0,0.0,0.0,0.0,0.7334230898687311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03365870077415012
Abashiri_Sp,0.0,0.0,0.0,0.2022209234365868,0.0,0.0,0.0,0.0,0.0,0.0,0.6367621274108708,0.0,0.0,0.0,0.0,0.0,0.0,0.16101694915254236,0.0
