,Sapporo_Sp,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Hakodate,Abashiri,Abashiri_Sp
Sapporo_Sp,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0
Sapporo,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0
Shiretoko,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Noboribetsu,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
Muroran,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Otaru,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Esashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Furano,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Biei,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Asahikawa,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1
Kushiro,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Monbetsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Numuro,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wakkanai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Obihiro,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Rumoi,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Hakodate,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abashiri,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Abashiri_Sp,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
