,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Abashiri,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Hakodate
Sapporo,0.0,0.0,0.1125748502994012,0.0,0.23941208492106697,0.0,0.05704953728905825,0.0,0.2372346216657594,0.0,0.0,0.0,0.0,0.0,0.03984757757212847,0.004028307022318998,0.30985302123026676
Shiretoko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792060491493384,0.5207939508506616,0.0,0.0,0.0,0.0,0.0,0.0
Noboribetsu,0.1435633367662204,0.0,0.0,0.020803295571575696,0.22646755921730174,0.0,0.05396498455200824,0.0,0.2244078269824923,0.0,0.0,0.0,0.0,0.0,0.03769309989701339,0.0,0.2930998970133883
Muroran,0.0,0.0,0.1700937654219444,0.0,0.3617371278170752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46816910676098045
Otaru,0.2545653761869978,0.0,0.18882395909422936,0.03688823959094229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5197224251278305
Esashi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Furano,0.33777562393990795,0.0,0.2505451902108069,0.0,0.0,0.0,0.0,0.31402956142476374,0.0,0.0,0.0,0.0,0.0,0.0,0.08868427429125272,0.008965350133268718,0.0
Biei,0.0,0.0,0.0,0.0,0.0,0.0,0.19385867554568997,0.0,0.8061413244543101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asahikawa,0.2847222222222222,0.0,0.21119281045751634,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,0.0,0.11254084967320262,0.017565359477124183,0.0,0.1017156862745098,0.0,0.00755718954248366,0.0
Kushiro,0.0,0.5790794979079498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11464435146443513,0.0,0.30627615062761504,0.0,0.0
Abashiri,0.0,0.2410309996516893,0.0,0.0,0.0,0.0,0.0,0.0,0.7589690003483107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monbetsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numuro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wakkanai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obihiro,0.4030066493206129,0.0,0.29893032668401276,0.0,0.0,0.0,0.15148886961549582,0.0,0.0,0.14657415437987859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rumoi,0.34024896265560167,0.0,0.0,0.0,0.0,0.0,0.1278984622894801,0.0,0.5318525750549182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakodate,0.28548023755887775,0.0,0.21175506860536555,0.04136801146835961,0.45033790702437027,0.011058775343026827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
